src_w,src_l4,dst_w,dst_l4,count,total,share
1,0,1,0,281,1122,0.25044563279857396
1,0,13,0,281,1122,0.25044563279857396
1,0,5,0,280,1122,0.24955436720142601
1,0,9,0,280,1122,0.24955436720142601
1,1,1,0,78,1100,0.07090909090909091
1,1,7,0,74,1100,0.06727272727272728
1,1,9,0,74,1100,0.06727272727272728
1,1,15,0,74,1100,0.06727272727272728
1,1,3,0,73,1100,0.06636363636363636
1,1,5,0,73,1100,0.06636363636363636
1,1,13,0,72,1100,0.06545454545454546
1,1,11,0,71,1100,0.06454545454545454
1,1,3,1,41,1100,0.03727272727272727
1,1,13,1,39,1100,0.035454545454545454
1,1,7,1,37,1100,0.03363636363636364
1,1,9,1,36,1100,0.03272727272727273
1,1,15,1,35,1100,0.031818181818181815
1,1,1,1,34,1100,0.03090909090909091
1,1,5,1,33,1100,0.03
1,1,11,1,33,1100,0.03
1,1,7,2,22,1100,0.02
1,1,9,2,21,1100,0.019090909090909092
1,1,15,2,21,1100,0.019090909090909092
1,1,5,2,20,1100,0.01818181818181818
1,1,1,2,18,1100,0.016363636363636365
1,1,3,2,17,1100,0.015454545454545455
1,1,11,2,17,1100,0.015454545454545455
1,1,13,2,14,1100,0.012727272727272728
1,1,13,3,14,1100,0.012727272727272728
1,1,7,3,13,1100,0.011818181818181818
1,1,3,3,12,1100,0.01090909090909091
1,1,9,3,9,1100,0.008181818181818182
1,1,1,3,8,1100,0.007272727272727273
1,1,5,3,6,1100,0.005454545454545455
1,1,15,3,6,1100,0.005454545454545455
1,1,11,3,5,1100,0.004545454545454545
1,2,7,0,276,1100,0.2509090909090909
1,2,3,0,275,1100,0.25
1,2,11,0,275,1100,0.25
1,2,15,0,274,1100,0.24909090909090909
1,3,5,1,65,1100,0.05909090909090909
1,3,1,1,59,1100,0.053636363636363635
1,3,7,1,54,1100,0.04909090909090909
1,3,11,1,53,1100,0.04818181818181818
1,3,3,1,52,1100,0.04727272727272727
1,3,9,1,47,1100,0.042727272727272725
1,3,15,1,47,1100,0.042727272727272725
1,3,13,1,44,1100,0.04
1,3,3,2,39,1100,0.035454545454545454
1,3,9,2,39,1100,0.035454545454545454
1,3,13,2,39,1100,0.035454545454545454
1,3,5,0,38,1100,0.034545454545454546
1,3,1,2,37,1100,0.03363636363636364
1,3,7,0,35,1100,0.031818181818181815
1,3,7,2,35,1100,0.031818181818181815
1,3,15,0,35,1100,0.031818181818181815
1,3,15,2,35,1100,0.031818181818181815
1,3,3,0,34,1100,0.03090909090909091
1,3,11,2,33,1100,0.03
1,3,13,0,33,1100,0.03
1,3,5,2,32,1100,0.02909090909090909
1,3,1,0,27,1100,0.024545454545454544
1,3,9,0,27,1100,0.024545454545454544
1,3,9,3,25,1100,0.022727272727272728
1,3,11,0,21,1100,0.019090909090909092
1,3,1,3,18,1100,0.016363636363636365
1,3,5,3,18,1100,0.016363636363636365
1,3,7,3,18,1100,0.016363636363636365
1,3,11,3,18,1100,0.016363636363636365
1,3,13,3,18,1100,0.016363636363636365
